Index,Date,Away Team Name,Away Team Abbreviation,Home Team Name,Home Team Abbreviation,Playoff Game,Boxscore URL,Play By Play URL
0,"Tue, Oct 22, 2019",New Orleans Pelicans,NOP,Toronto Raptors,TOR,0,/boxscores/201910220TOR.html,/boxscores/pbp/201910220TOR.html
1,"Tue, Oct 22, 2019",Los Angeles Lakers,LAL,Los Angeles Clippers,LAC,0,/boxscores/201910220LAC.html,/boxscores/pbp/201910220LAC.html
2,"Wed, Oct 23, 2019",Chicago Bulls,CHI,Charlotte Hornets,CHO,0,/boxscores/201910230CHO.html,/boxscores/pbp/201910230CHO.html
3,"Wed, Oct 23, 2019",Detroit Pistons,DET,Indiana Pacers,IND,0,/boxscores/201910230IND.html,/boxscores/pbp/201910230IND.html
4,"Wed, Oct 23, 2019",Cleveland Cavaliers,CLE,Orlando Magic,ORL,0,/boxscores/201910230ORL.html,/boxscores/pbp/201910230ORL.html
5,"Wed, Oct 23, 2019",Minnesota Timberwolves,MIN,Brooklyn Nets,BRK,0,/boxscores/201910230BRK.html,/boxscores/pbp/201910230BRK.html
6,"Wed, Oct 23, 2019",Memphis Grizzlies,MEM,Miami Heat,MIA,0,/boxscores/201910230MIA.html,/boxscores/pbp/201910230MIA.html
7,"Wed, Oct 23, 2019",Boston Celtics,BOS,Philadelphia 76ers,PHI,0,/boxscores/201910230PHI.html,/boxscores/pbp/201910230PHI.html
8,"Wed, Oct 23, 2019",Washington Wizards,WAS,Dallas Mavericks,DAL,0,/boxscores/201910230DAL.html,/boxscores/pbp/201910230DAL.html
9,"Wed, Oct 23, 2019",New York Knicks,NYK,San Antonio Spurs,SAS,0,/boxscores/201910230SAS.html,/boxscores/pbp/201910230SAS.html
10,"Wed, Oct 23, 2019",Oklahoma City Thunder,OKC,Utah Jazz,UTA,0,/boxscores/201910230UTA.html,/boxscores/pbp/201910230UTA.html
11,"Wed, Oct 23, 2019",Sacramento Kings,SAC,Phoenix Suns,PHO,0,/boxscores/201910230PHO.html,/boxscores/pbp/201910230PHO.html
12,"Wed, Oct 23, 2019",Denver Nuggets,DEN,Portland Trail Blazers,POR,0,/boxscores/201910230POR.html,/boxscores/pbp/201910230POR.html
13,"Thu, Oct 24, 2019",Atlanta Hawks,ATL,Detroit Pistons,DET,0,/boxscores/201910240DET.html,/boxscores/pbp/201910240DET.html
14,"Thu, Oct 24, 2019",Milwaukee Bucks,MIL,Houston Rockets,HOU,0,/boxscores/201910240HOU.html,/boxscores/pbp/201910240HOU.html
15,"Thu, Oct 24, 2019",Los Angeles Clippers,LAC,Golden State Warriors,GSW,0,/boxscores/201910240GSW.html,/boxscores/pbp/201910240GSW.html
16,"Fri, Oct 25, 2019",Toronto Raptors,TOR,Boston Celtics,BOS,0,/boxscores/201910250BOS.html,/boxscores/pbp/201910250BOS.html
17,"Fri, Oct 25, 2019",Minnesota Timberwolves,MIN,Charlotte Hornets,CHO,0,/boxscores/201910250CHO.html,/boxscores/pbp/201910250CHO.html
18,"Fri, Oct 25, 2019",New York Knicks,NYK,Brooklyn Nets,BRK,0,/boxscores/201910250BRK.html,/boxscores/pbp/201910250BRK.html
19,"Fri, Oct 25, 2019",Chicago Bulls,CHI,Memphis Grizzlies,MEM,0,/boxscores/201910250MEM.html,/boxscores/pbp/201910250MEM.html
20,"Fri, Oct 25, 2019",Dallas Mavericks,DAL,New Orleans Pelicans,NOP,0,/boxscores/201910250NOP.html,/boxscores/pbp/201910250NOP.html
21,"Fri, Oct 25, 2019",Washington Wizards,WAS,Oklahoma City Thunder,OKC,0,/boxscores/201910250OKC.html,/boxscores/pbp/201910250OKC.html
22,"Fri, Oct 25, 2019",Phoenix Suns,PHO,Denver Nuggets,DEN,0,/boxscores/201910250DEN.html,/boxscores/pbp/201910250DEN.html
23,"Fri, Oct 25, 2019",Portland Trail Blazers,POR,Sacramento Kings,SAC,0,/boxscores/201910250SAC.html,/boxscores/pbp/201910250SAC.html
24,"Fri, Oct 25, 2019",Utah Jazz,UTA,Los Angeles Lakers,LAL,0,/boxscores/201910250LAL.html,/boxscores/pbp/201910250LAL.html
25,"Sat, Oct 26, 2019",Miami Heat,MIA,Milwaukee Bucks,MIL,0,/boxscores/201910260MIL.html,/boxscores/pbp/201910260MIL.html
26,"Sat, Oct 26, 2019",Philadelphia 76ers,PHI,Detroit Pistons,DET,0,/boxscores/201910260DET.html,/boxscores/pbp/201910260DET.html
27,"Sat, Oct 26, 2019",Orlando Magic,ORL,Atlanta Hawks,ATL,0,/boxscores/201910260ATL.html,/boxscores/pbp/201910260ATL.html
28,"Sat, Oct 26, 2019",Boston Celtics,BOS,New York Knicks,NYK,0,/boxscores/201910260NYK.html,/boxscores/pbp/201910260NYK.html
29,"Sat, Oct 26, 2019",Toronto Raptors,TOR,Chicago Bulls,CHI,0,/boxscores/201910260CHI.html,/boxscores/pbp/201910260CHI.html
30,"Sat, Oct 26, 2019",Indiana Pacers,IND,Cleveland Cavaliers,CLE,0,/boxscores/201910260CLE.html,/boxscores/pbp/201910260CLE.html
31,"Sat, Oct 26, 2019",New Orleans Pelicans,NOP,Houston Rockets,HOU,0,/boxscores/201910260HOU.html,/boxscores/pbp/201910260HOU.html
32,"Sat, Oct 26, 2019",Washington Wizards,WAS,San Antonio Spurs,SAS,0,/boxscores/201910260SAS.html,/boxscores/pbp/201910260SAS.html
33,"Sat, Oct 26, 2019",Sacramento Kings,SAC,Utah Jazz,UTA,0,/boxscores/201910260UTA.html,/boxscores/pbp/201910260UTA.html
34,"Sat, Oct 26, 2019",Los Angeles Clippers,LAC,Phoenix Suns,PHO,0,/boxscores/201910260PHO.html,/boxscores/pbp/201910260PHO.html
35,"Sun, Oct 27, 2019",Golden State Warriors,GSW,Oklahoma City Thunder,OKC,0,/boxscores/201910270OKC.html,/boxscores/pbp/201910270OKC.html
36,"Sun, Oct 27, 2019",Brooklyn Nets,BRK,Memphis Grizzlies,MEM,0,/boxscores/201910270MEM.html,/boxscores/pbp/201910270MEM.html
37,"Sun, Oct 27, 2019",Portland Trail Blazers,POR,Dallas Mavericks,DAL,0,/boxscores/201910270DAL.html,/boxscores/pbp/201910270DAL.html
38,"Sun, Oct 27, 2019",Miami Heat,MIA,Minnesota Timberwolves,MIN,0,/boxscores/201910270MIN.html,/boxscores/pbp/201910270MIN.html
